,Exclusion Code,D,G,Galaxy ID,m-M,err,D (Mpc),Method,REFCODE,SN ID,redshift (z),Hubble const.,Adopted LMC modulus,Date (Yr. - 1980),Notes
135959,,91278,23721,FGC 0751,36.11,,167.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
135998,,91317,23760,CGMW 2-3473,29.35,,7.41,Tully-Fisher,2013AJ....145..101K,,,,,33,
137428,,92716,24893,CGCG 032-035,32.36,,29.7,Tully-Fisher,2015AstBu..70....1K,,,,,35,
137650,,92922,25076,FGC 0767,35.04,,102.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
137651,,92923,25076,FGC 0767,35.12,,105.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
137652,,92924,25076,FGC 0767,35.13,,106.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
137653,,92925,25076,FGC 0767,35.14,,107.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
138322,,93589,25640,FGC 0768,36.92,,243.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
138323,,93590,25640,FGC 0768,37.03,,254.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
138324,,93591,25640,FGC 0768,37.1,,264.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
138325,,93592,25640,FGC 0768,37.19,,274.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
138363,,93630,25678,FGC 0769,34.95,,97.7,Tully-Fisher,2000BSAO...50....5K,,,,,20,
138550,,93811,25844,SDSS J083633.22+051042.3,32.27,,28.5,Tully-Fisher,2015AstBu..70....1K,,,,,35,
138643,,93904,25925,FGCE 0709,33.23,,44.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
138644,,93905,25925,FGCE 0709,33.24,,44.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
138645,,93906,25925,FGCE 0709,33.24,,44.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
