,objname,j2000,meas,H (Mpc),D (Mpc),P (Mpc),Q (Mpc),M (Mpc),Dmin (Mpc),Dmax (Mpc)
2055,UGC04115                      ,J075702.2+142328,4,0.6597346046727386,7.793331446676444,0.07032547164296427,0.30185014876896027,0.14150251104509645,6.584767800270257,7.9087886520643496
2056,UGC04132                      ,J075913.0+325454,2,6.073445840602564,81.32969624297854,12.800279246611522,12.805459448865912,12.268278869563371,74.36256544682738,88.10413473785853
2057,UGC04133                      ,J080008.5+562156,4,9.659979908941567,117.29244089780902,1.4737380334607513,6.796639353175836,5.358981700774014,103.80164439907763,123.09484490790506
2058,UGC04148                      ,J080023.8+421138,2,2.137735169158996,28.266480964399456,4.3969737249026855,4.940083793651704,4.294122428609192,25.66561724063719,30.582489995344236
2059,UGC04169                      ,J080233.0+612317,3,3.878122180422656,31.615231073670433,3.850311977315237,4.689968823791532,4.699624316189613,27.933937110818476,36.01491868932934
2060,UGC04195                      ,J080506.8+664658,11,7.217643839082887,72.7052130478167,0.733517690959922,4.975706980245536,5.128786591918178,66.71654631314607,80.79752492169338
2061,UGC04238                      ,J081136.7+762518,2,1.4473201329567777,18.940465715342633,2.9485798056499943,3.4348268644875093,2.9031083586011732,17.17744158716091,20.54009410951922
2062,UGC04247                      ,J080903.4+164034,2,6.23920863955687,80.5812511284595,12.567596570219775,15.019478821349802,12.322570436619689,73.13269765706616,87.53104347063085
2063,UGC04257                      ,J081011.2+245335,2,4.417313599276809,59.38334314323621,9.28489124626673,9.584480586228338,8.934392994499982,54.11031908116431,64.17413563571205
2064,UGC04296                      ,J081529.1+082043,2,9.126062248995435,122.74802791611654,19.205081985503508,20.12373593274785,18.52586710140149,111.79404394865523,132.62797467151952
2065,UGC04299                      ,J081559.1+231159,2,4.1065105207735115,56.3665924145499,8.909275627953214,9.13716203217014,8.407200174414822,51.46074102140977,60.934497490613474
2066,UGC04305                      ,J081904.3+704318,7,0.09223319866194704,3.438605642293396,0.01729420488294588,0.06305172604601157,0.05914220395875838,3.3097098463638814,3.4889641987521833
2067,UGC04306                      ,J081736.7+352648,2,2.127527506801646,23.00395920374242,3.6663661754792045,6.2905015465994465,3.9018991707032713,20.53613768067123,25.242507090358366
2068,UGC04322                      ,J082001.7+624950,4,12.787541442091054,103.86401767444028,1.0645506714789459,10.44680502253881,8.68217658068183,89.75520719766244,115.29736348248275
2069,UGC04324                      ,J081829.5+204541,2,4.219928944210615,56.777898332973685,8.98221360176228,9.41186789776993,8.59314765324764,51.7042793172203,61.47471581099763
2070,UGC04332                      ,J081937.9+210652,2,9.542289998370887,133.5420609859694,20.973864626325746,21.109263181532285,19.781132886320734,122.16165707002408,144.00942086953089
2071,UGC04361                      ,J082154.3+223829,2,3.1703919127797318,43.56572511965405,6.879867907337757,6.882652151849683,6.523881217548262,39.81903430796042,47.07749257830159
2072,UGC04375                      ,J082311.3+223953,3,4.754573333842064,39.9317795972852,4.790365463219708,5.317241751751545,5.770211039030708,35.52222843152921,45.61380988311781
2073,UGC04381                      ,J082313.2-005153,2,3.90166851546772,52.91790825702336,8.368778379954419,8.533150846767954,7.962712464445233,48.2387181114737,57.31819342136399
2074,UGC04386                      ,J082401.6+210138,2,5.187466451173248,68.92938322959253,10.76399636758996,12.236199985928238,10.481361734345738,62.73261527791375,74.76663232925239
2075,UGC04393                      ,J082604.4+455804,3,1.819651920694258,11.022466415844779,1.3770523977174889,2.9058008815865706,2.033855993518119,9.409733008493621,13.146765584121349
2076,UGC04399                      ,J082607.4+212724,2,4.207115397619776,57.68481706886898,9.037308678506848,9.051929207666793,8.664583690001432,52.687543301222945,62.34566904540981
2077,UGC04400                      ,J082605.6+214003,2,5.840143459988129,78.31148651727035,12.242642898221987,13.178181977974534,11.937415092333,71.10949861828479,84.74392987818831
2078,UGC04414                      ,J082706.0+213843,3,13.707843393708586,105.64150490605864,3.1726875207597414,19.638291528469082,15.715547302582472,91.19863988655868,118.58144197277262
2079,UGC04424                      ,J082807.5+201544,2,5.522015588927906,73.89989986145437,11.543412047296384,12.822859060292442,11.303780849633851,67.2133029467504,80.02105506294636
2080,UGC04426                      ,J082828.5+415124,3,0.2522662621804159,9.897883125057582,0.09585469072900465,0.12632040451038418,0.14399427227492909,9.796294558523075,10.235532946223397
2081,UGC04446                      ,J083040.5+203559,2,6.339074678771508,84.36211079042201,13.355054777686334,15.004658612564075,12.780683211122952,76.85930750797343,91.44476416245439
2082,UGC04455                      ,J083132.9-011152,4,17.75043080519858,129.24784248617385,2.0377191850327807,15.354536765938567,13.490020711413726,108.53165045411514,144.02984451758516
2083,UGC04459                      ,J083406.5+661048,6,0.09437709015629045,3.6353178922433544,0.013955295478653125,0.07225946184990574,0.0807162080988707,3.536700156810658,3.7175371551510104
2084,UGC04483                      ,J083703.4+694635,4,0.15097309129407116,3.5069780016709577,0.07079031226447889,0.17379057595780667,0.1264904519844118,3.3208272017232554,3.6227447897929097
2085,UGC04514                      ,J083937.7+532724,3,1.8985191868142177,16.620342115387615,1.9634770541669935,1.9854868288597156,2.328130493173807,14.813549820927742,18.782137649256065
2086,UGC04524                      ,J084014.5+053806,2,2.4097973259995094,33.03003834004417,5.198073247754717,5.331032454625608,4.93035810498118,30.113171215998346,35.72894080339891
